path,label,dataset,source_path,speaker_id,gender,transcription
data/external/hf_dialects/changsha/0001.wav,changsha,TingChen-ppmc/Changsha_Dialect_Conversational_Speech_Corpus,A0001_S001_0_G0001_0.WAV,G0001,女,北京爱数智慧语音采集。
data/external/hf_dialects/changsha/0002.wav,changsha,TingChen-ppmc/Changsha_Dialect_Conversational_Speech_Corpus,A0001_S001_0_G0001_1.WAV,G0001,女,先讲咯杂衣服咯。
data/external/hf_dialects/changsha/0003.wav,changsha,TingChen-ppmc/Changsha_Dialect_Conversational_Speech_Corpus,A0001_S001_0_G0001_2.WAV,G0001,女,那基本上都是在网上买，以前的话嘞我就喜欢逛淘宝，
data/external/hf_dialects/changsha/0004.wav,changsha,TingChen-ppmc/Changsha_Dialect_Conversational_Speech_Corpus,A0001_S001_0_G0001_3.WAV,G0001,女,感觉咯杂淘宝嘞还是比较比较好，
data/external/hf_dialects/changsha/0005.wav,changsha,TingChen-ppmc/Changsha_Dialect_Conversational_Speech_Corpus,A0001_S001_0_G0001_4.WAV,G0001,女,现在嘞我又特别喜欢逛拼多多，
data/external/hf_dialects/changsha/0006.wav,changsha,TingChen-ppmc/Changsha_Dialect_Conversational_Speech_Corpus,A0001_S001_0_G0001_5.WAV,G0001,女,以前嘞对以前嘞觉得咯啊拼多多嘞它可能咯啊质量不蛮好，所以嘞它才便宜嘛，
data/external/hf_dialects/changsha/0007.wav,changsha,TingChen-ppmc/Changsha_Dialect_Conversational_Speech_Corpus,A0001_S001_0_G0001_6.WAV,G0001,女,然后嘞现在后背有一段时间尤其是生咖细伢子之后，感觉咯细伢子咯啊衣服嘞，
data/external/hf_dialects/changsha/0008.wav,changsha,TingChen-ppmc/Changsha_Dialect_Conversational_Speech_Corpus,A0001_S001_0_G0001_7.WAV,G0001,女,都上面看哒呀买咖几件呐，好像还可以一样，然后就爱上了拼多多，
data/external/hf_dialects/changsha/0009.wav,changsha,TingChen-ppmc/Changsha_Dialect_Conversational_Speech_Corpus,A0001_S001_0_G0001_8.WAV,G0001,女,又便宜又好，
data/external/hf_dialects/changsha/0010.wav,changsha,TingChen-ppmc/Changsha_Dialect_Conversational_Speech_Corpus,A0001_S001_0_G0001_9.WAV,G0001,女,对对对，我也是咯样觉得的，
data/external/hf_dialects/changsha/0011.wav,changsha,TingChen-ppmc/Changsha_Dialect_Conversational_Speech_Corpus,A0001_S001_0_G0001_10.WAV,G0001,女,反正嘞现在咯啊拼多多嘞它一般也不敢搞那很朔的，搞那很朔的的话嘞它这个牌子也不好搞，
data/external/hf_dialects/changsha/0012.wav,changsha,TingChen-ppmc/Changsha_Dialect_Conversational_Speech_Corpus,A0001_S001_0_G0001_11.WAV,G0001,女,现在咯拼多多它就是，现在是属于第二杂
data/external/hf_dialects/changsha/0013.wav,changsha,TingChen-ppmc/Changsha_Dialect_Conversational_Speech_Corpus,A0001_S001_0_G0001_12.WAV,G0001,女,第，反正是超过淘感感觉跟上淘宝哒咯，它也上市哒是吧，
data/external/hf_dialects/changsha/0014.wav,changsha,TingChen-ppmc/Changsha_Dialect_Conversational_Speech_Corpus,A0001_S001_0_G0001_13.WAV,G0001,女,我知道我晓得晓得晓得，
data/external/hf_dialects/changsha/0015.wav,changsha,TingChen-ppmc/Changsha_Dialect_Conversational_Speech_Corpus,A0001_S001_0_G0001_14.WAV,G0001,女,我以前以前觉得那哈批发的地方反正还可以咯，但是有一次我不是都那哈广州那哈批发市场克啵，
data/external/hf_dialects/changsha/0016.wav,changsha,TingChen-ppmc/Changsha_Dialect_Conversational_Speech_Corpus,A0001_S001_0_G0001_15.WAV,G0001,女,他里讲都那杂地方反正是一泡衣服都是论斤买的嘛，
data/external/hf_dialects/changsha/0017.wav,changsha,TingChen-ppmc/Changsha_Dialect_Conversational_Speech_Corpus,A0001_S001_0_G0001_16.WAV,G0001,女,恩好多好多钱一斤然后几百件几十件的买起回来，然后就几百件几十几十块钱的买一件买起出克
data/external/hf_dialects/changsha/0018.wav,changsha,TingChen-ppmc/Changsha_Dialect_Conversational_Speech_Corpus,A0001_S001_0_G0001_17.WAV,G0001,女,那那哈衣服我感觉确实
data/external/hf_dialects/changsha/0019.wav,changsha,TingChen-ppmc/Changsha_Dialect_Conversational_Speech_Corpus,A0001_S001_0_G0001_18.WAV,G0001,女,何解讲咯，骗咖反正洗伽之后啊熨咖之后啊看起来还可以，但是实际上的话那哈衣服确实还是不蛮好，
data/external/hf_dialects/changsha/0020.wav,changsha,TingChen-ppmc/Changsha_Dialect_Conversational_Speech_Corpus,A0001_S001_0_G0001_19.WAV,G0001,女,那现在的话现在咯啊网上的咯哈便宜的咯啊衣服的话有时几有时候也是不放心嘞其实，
data/external/hf_dialects/changsha/0021.wav,changsha,TingChen-ppmc/Changsha_Dialect_Conversational_Speech_Corpus,A0001_S001_0_G0001_20.WAV,G0001,女,它很多毕竟它喊咯啊厂家出厂啦，
data/external/hf_dialects/changsha/0022.wav,changsha,TingChen-ppmc/Changsha_Dialect_Conversational_Speech_Corpus,A0001_S001_0_G0001_21.WAV,G0001,女,很多东西都讲不定，恩看不见嘛对啵，恩只能够说买到你手上啦恩洗干净点阿子，
data/external/hf_dialects/changsha/0023.wav,changsha,TingChen-ppmc/Changsha_Dialect_Conversational_Speech_Corpus,A0001_S001_0_G0001_22.WAV,G0001,女,可能嘞就心里放心点，
data/external/hf_dialects/changsha/0024.wav,changsha,TingChen-ppmc/Changsha_Dialect_Conversational_Speech_Corpus,A0001_S001_0_G0001_23.WAV,G0001,女,有毒物质咯，那那材料啊东西，
data/external/hf_dialects/changsha/0025.wav,changsha,TingChen-ppmc/Changsha_Dialect_Conversational_Speech_Corpus,A0001_S001_0_G0001_24.WAV,G0001,女,是的是的，我上次跟我老公买咖两件那哈那哈冬天马上换季节那哈长袖子，
data/external/hf_dialects/changsha/0026.wav,changsha,TingChen-ppmc/Changsha_Dialect_Conversational_Speech_Corpus,A0001_S001_0_G0001_25.WAV,G0001,女,那哈T恤都网上看哒那哈照片呐东西啊都蛮好，
data/external/hf_dialects/changsha/0027.wav,changsha,TingChen-ppmc/Changsha_Dialect_Conversational_Speech_Corpus,A0001_S001_0_G0001_26.WAV,G0001,女,后边送得我手上嘞买的一件黑色的嘞他发得我的是一件灰色的，
